station,period,x,y,normalized_contribution,n_posts,m_xy,display_points
Business FM,2024H1,1,1,0.000000,100,0.000000,0
Business FM,2024H1,2,1,0.000000,100,0.000000,0
Business FM,2024H1,3,1,0.000000,100,0.000000,0
Business FM,2024H1,4,1,0.000000,100,0.000000,0
Business FM,2024H1,1,2,0.000000,100,0.000000,0
Business FM,2024H1,2,2,0.000000,100,0.000000,0
Business FM,2024H1,3,2,0.000000,100,0.000000,0
Business FM,2024H1,4,2,0.000000,100,0.000000,0
Business FM,2024H1,1,3,0.000000,100,0.000000,0
Business FM,2024H1,2,3,0.000000,100,0.000000,0
Business FM,2024H1,3,3,0.000000,100,0.000000,0
Business FM,2024H1,4,3,0.000000,100,0.000000,0
Business FM,2024H1,1,4,7.000000,100,7.000000,7
Business FM,2024H1,2,4,0.000000,100,0.000000,0
Business FM,2024H1,3,4,0.000000,100,0.000000,0
Business FM,2024H1,4,4,0.000000,100,0.000000,0
Business FM,2026H1,1,1,0.500000,100,0.500000,0
Business FM,2026H1,2,1,5.500000,100,5.500000,6
Business FM,2026H1,3,1,0.000000,100,0.000000,0
Business FM,2026H1,4,1,0.000000,100,0.000000,0
Business FM,2026H1,1,2,0.000000,100,0.000000,0
Business FM,2026H1,2,2,5.000000,100,5.000000,5
Business FM,2026H1,3,2,0.000000,100,0.000000,0
Business FM,2026H1,4,2,0.000000,100,0.000000,0
Business FM,2026H1,1,3,0.000000,100,0.000000,0
Business FM,2026H1,2,3,1.000000,100,1.000000,1
Business FM,2026H1,3,3,0.000000,100,0.000000,0
Business FM,2026H1,4,3,0.000000,100,0.000000,0
Business FM,2026H1,1,4,1.500000,100,1.500000,1
Business FM,2026H1,2,4,84.500000,100,84.500000,85
Business FM,2026H1,3,4,0.000000,100,0.000000,0
Business FM,2026H1,4,4,0.000000,100,0.000000,0
Маяк,2024H1,1,1,0.000000,100,0.000000,0
Маяк,2024H1,2,1,0.000000,100,0.000000,0
Маяк,2024H1,3,1,0.000000,100,0.000000,0
Маяк,2024H1,4,1,2.000000,100,2.000000,2
Маяк,2024H1,1,2,0.000000,100,0.000000,0
Маяк,2024H1,2,2,1.500000,100,1.500000,2
Маяк,2024H1,3,2,1.500000,100,1.500000,1
Маяк,2024H1,4,2,26.000000,100,26.000000,26
