station,profile,eligible,sample_n,X,Y_label,Y_mean,Y_median,Y0,Y1,Y2,Y3,platform_counts,regular_platforms,cross_posts
Business FM,2017,865,100,2,Y3,1.75,3.0,39,0,8,53,"{'website': 608, 'vk': 1, 'telegram': 3, 'youtube': 9, 'smotrim': 2, 'app': 2}","['telegram', 'website', 'youtube']",0
Business FM,2018,2484,100,3,Y0,1.03,0.0,63,0,8,29,"{'website': 1934, 'telegram': 8, 'ok': 2, 'smotrim': 1, 'youtube': 6, 'vk': 6}","['telegram', 'vk', 'website', 'youtube']",5
Business FM,2019,2858,100,3,Y0→3,1.51,2.0,47,0,8,45,"{'telegram': 13, 'website': 2280, 'youtube': 11, 'app': 6, 'smotrim': 1, 'vk': 4, 'audio': 12}","['app', 'telegram', 'vk', 'website', 'youtube']",5
Business FM,2020,4655,100,3,Y0→3,1.75,2.0,33,1,24,42,"{'website': 2098, 'telegram': 43, 'vk': 21, 'app': 33, 'audio': 136, 'youtube': 47, 'smotrim': 8}","['app', 'audio', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",12
Business FM,2021,5703,100,3,Y3,2.35,3.0,13,2,22,63,"{'audio': 39, 'website': 2475, 'app': 78, 'smotrim': 9, 'telegram': 28, 'youtube': 68, 'vk': 22, 'ok': 6}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",6
Business FM,2022,9241,100,3,Y3,2.48,3.0,11,1,17,71,"{'website': 1352, 'app': 146, 'telegram': 70, 'audio': 5, 'youtube': 59, 'ok': 1, 'smotrim': 23, 'vk': 24}","['app', 'audio', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",11
Business FM,2023,9250,100,3,Y3,2.45,3.0,16,3,1,80,"{'youtube': 46, 'app': 119, 'website': 875, 'telegram': 42, 'vk': 24, 'smotrim': 19, 'ok': 7, 'audio': 1}","['app', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",5
Business FM,2024,10021,100,3,Y3,2.73,3.0,9,0,0,91,"{'youtube': 100, 'app': 175, 'website': 592, 'telegram': 45, 'smotrim': 23, 'vk': 42, 'ok': 9, 'audio': 8}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",5
Business FM,2025,12261,100,3,Y3,2.62,3.0,11,2,1,86,"{'app': 231, 'website': 2525, 'audio': 11, 'youtube': 47, 'ok': 15, 'vk': 43, 'smotrim': 90, 'telegram': 182}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",138
Business FM,2026H1,7394,100,3,Y3,2.72,3.0,7,3,1,89,"{'website': 7350, 'app': 160, 'audio': 36, 'smotrim': 31, 'telegram': 200, 'youtube': 33, 'ok': 6, 'vk': 18}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",201
Маяк,2022,1843,100,3,Y3,2.22,3.0,17,7,13,63,"{'smotrim': 1169, 'telegram': 35, 'website': 152, 'audio': 390, 'youtube': 2, 'vk': 21, 'app': 1}","['audio', 'smotrim', 'telegram', 'vk', 'website']",56
